Title,Year,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,imdbRating,imdbVotes,imdbID,BoxOffice,Production
Iron Man 2,2010,124 min,"Action, Sci-Fi",Jon Favreau,"Justin Theroux, Stan Lee, Don Heck","Robert Downey Jr., Mickey Rourke, Gwyneth Paltrow","With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.","English, French, Russian",United States,6.9,"914,423",tt1228705,"$312,433,331",N/A
Thor,2011,115 min,"Action, Fantasy",Kenneth Branagh,"Ashley E. Miller, Zack Stentz, Don Payne","Chris Hemsworth, Anthony Hopkins, Natalie Portman","The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.",English,"United States, France",7.0,"944,817",tt0800369,"$181,030,624",N/A
Captain America: The First Avenger,2011,124 min,"Action, Adventure, Sci-Fi",Joe Johnston,"Christopher Markus, Stephen McFeely, Joe Simon","Chris Evans, Hugo Weaving, Samuel L. Jackson","Steve Rogers, a rejected military soldier, transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a warmonger and a terrorist organiza...","English, Norwegian, French",United States,6.9,"945,480",tt0458339,"$176,654,505",N/A
The Avengers,2012,143 min,"Action, Sci-Fi",Joss Whedon,"Joss Whedon, Zak Penn","Robert Downey Jr., Chris Evans, Scarlett Johansson",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,"English, Russian",United States,8.0,"1,528,141",tt0848228,"$623,357,910",N/A
The Incredible Hulk,2008,112 min,"Action, Adventure, Sci-Fi",Louis Leterrier,"Zak Penn, Stan Lee, Jack Kirby","Edward Norton, Liv Tyler, Tim Roth","Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper.","English, Portuguese, Spanish","United States, Canada, Japan",6.6,"551,341",tt0800080,"$134,806,913",N/A
Iron Man,2008,126 min,"Action, Adventure, Sci-Fi",Jon Favreau,"Mark Fergus, Hawk Ostby, Art Marcum","Robert Downey Jr., Gwyneth Paltrow, Terrence Howard","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","English, Persian, Urdu, Arabic, Kurdish, Hindi, Hungarian","United States, Canada",7.9,"1,190,100",tt0371746,"$319,034,126",N/A
Iron Man 3,2013,130 min,"Action, Adventure, Sci-Fi",Shane Black,"Drew Pearce, Shane Black, Stan Lee","Robert Downey Jr., Guy Pearce, Gwyneth Paltrow","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",English,United States,7.1,"944,732",tt1300854,"$409,013,994",N/A
Thor: The Dark World,2013,112 min,"Action, Adventure, Fantasy",Alan Taylor,"Christopher L. Yost, Christopher Markus, Stephen McFeely","Chris Hemsworth, Natalie Portman, Tom Hiddleston","When the Dark Elves attempt to plunge the universe into darkness, Thor must embark on a perilous and personal journey that will reunite him with doctor Jane Foster.",English,"United States, Iceland",6.7,"761,960",tt1981115,"$206,362,140",N/A
Avengers: Age of Ultron,2015,141 min,"Action, Adventure, Sci-Fi",Joss Whedon,"Joss Whedon, Stan Lee, Jack Kirby","Robert Downey Jr., Chris Evans, Mark Ruffalo","When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","English, Korean","United States, South Korea, Cambodia",7.3,"973,147",tt2395427,"$459,005,868",N/A
Captain America: The Winter Soldier,2014,136 min,"Action, Adventure, Sci-Fi","Anthony Russo, Joe Russo","Christopher Markus, Stephen McFeely, Joe Simon","Chris Evans, Samuel L. Jackson, Scarlett Johansson","As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.","English, French",United States,7.7,"947,414",tt1843866,"$259,766,572",N/A
