iter	Passed	Remaining
0	47	9378
1	47	4719
2	48	3161
3	48	2384
4	49	1915
5	49	1603
6	50	1383
7	50	1221
8	51	1088
9	51	985
10	52	899
11	52	828
12	53	766
13	53	713
14	54	669
15	54	629
16	55	594
17	55	562
18	56	534
19	56	509
20	57	486
21	57	465
22	57	446
23	58	428
24	59	413
25	59	399
26	60	385
27	61	376
28	61	363
29	62	352
30	62	341
31	63	331
32	63	321
33	64	312
34	64	304
35	64	296
36	65	288
37	66	281
38	66	274
39	67	270
40	68	264
41	68	258
42	69	252
43	69	247
44	70	243
45	71	237
46	71	232
47	71	227
48	72	222
49	73	221
50	75	220
51	76	217
52	77	215
53	78	213
54	80	210
55	81	208
56	82	205
57	83	203
58	83	199
59	83	195
60	84	192
61	84	188
62	85	185
63	87	185
64	87	182
65	88	179
66	88	176
67	89	173
68	89	170
69	89	167
70	90	164
71	90	161
72	91	158
73	91	156
74	92	153
75	92	151
76	93	148
77	93	146
78	93	143
79	94	142
80	95	139
81	95	137
82	96	135
83	96	133
84	96	130
85	97	128
86	97	126
87	98	125
88	98	123
89	99	121
90	99	119
91	100	117
92	100	115
93	101	114
94	101	112
95	101	110
96	102	108
97	103	107
98	103	105
99	104	104
100	104	102
101	105	101
102	105	99
103	106	98
104	106	96
105	107	95
106	107	93
107	108	92
108	108	90
109	108	89
110	109	87
111	109	86
112	110	85
113	111	83
114	111	82
115	112	81
116	112	79
117	113	78
118	113	77
119	114	76
120	114	74
121	114	73
122	115	72
123	115	71
124	116	69
125	116	68
126	117	67
127	117	66
128	118	65
129	118	64
130	119	62
131	119	61
132	120	60
133	120	59
134	121	58
135	121	57
136	122	56
137	122	55
138	123	54
139	123	52
140	124	51
141	124	50
142	125	49
143	125	48
144	126	47
145	127	47
146	127	46
147	128	45
148	128	44
149	129	43
150	129	42
151	130	41
152	130	40
153	130	39
154	131	38
155	131	37
156	132	36
157	132	35
158	133	34
159	133	33
160	134	32
161	134	31
162	135	30
163	135	29
164	136	28
165	136	28
166	137	27
167	137	26
168	138	25
169	138	24
170	139	23
171	139	22
172	140	21
173	140	21
174	141	20
175	141	19
176	142	18
177	142	17
178	143	16
179	143	15
180	144	15
181	144	14
182	145	13
183	145	12
184	146	11
185	146	11
186	147	10
187	147	9
188	148	8
189	148	7
190	149	7
191	149	6
192	150	5
193	151	4
194	151	3
195	152	3
196	152	2
197	153	1
198	153	0
199	154	0
